program counter, branch history, branch outcome
00000067, "0010010010000000", 0
0000005C, "0001001001000000", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 0
00000067, "0010000010010010", 1
0000005C, "1001000001001001", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 0
0000005C, "0001001000001001", 1
0000007A, "1000100100000100", 1
00000086, "1100010010000010", 0
00000086, "0110001001000001", 0
00000086, "0011000100100000", 1
00000096, "1001100010010000", 0
00000096, "0100110001001000", 0
00000096, "0010011000100100", 0
00000096, "0001001100010010", 0
00000096, "0000100110001001", 0
00000096, "0000010011000100", 0
00000096, "0000001001100010", 0
00000096, "0000000100110001", 0
00000096, "0000000010011000", 0
00000096, "0000000001001100", 0
00000096, "0000000000100110", 0
00000096, "0000000000010011", 0
00000096, "0000000000001001", 0
00000096, "0000000000000100", 0
00000096, "0000000000000010", 0
00000096, "0000000000000001", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 1
00000041, "1000000000000000", 0
00000041, "0100000000000000", 0
00000041, "0010000000000000", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 0
00000041, "0000010000000000", 0
00000041, "0000001000000000", 0
00000041, "0000000100000000", 1
00000041, "1000000010000000", 1
0000005C, "1100000001000000", 0
0000005E, "0110000000100000", 0
00000067, "0011000000010000", 1
0000005C, "1001100000001000", 0
0000005E, "0100110000000100", 1
0000007A, "1010011000000010", 0
0000007A, "0101001100000001", 1
00000086, "1010100110000000", 1
00000096, "1101010011000000", 0
00000096, "0110101001100000", 0
00000096, "0011010100110000", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 1
0000005C, "1001100110101001", 0
0000005E, "0100110011010100", 1
0000007A, "1010011001101010", 0
0000007A, "0101001100110101", 0
0000007A, "0010100110011010", 1
00000086, "1001010011001101", 1
00000096, "1100101001100110", 0
00000096, "0110010100110011", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
00000041, "1000110010100110", 0
00000041, "0100011001010011", 0
00000041, "0010001100101001", 1
00000041, "1001000110010100", 1
0000005C, "1100100011001010", 0
0000005E, "0110010001100101", 0
00000067, "0011001000110010", 0
0000005C, "0001100100011001", 1
0000007A, "1000110010001100", 1
00000086, "1100011001000110", 0
00000086, "0110001100100011", 1
00000096, "1011000110010001", 0
00000096, "0101100011001000", 0
00000096, "0010110001100100", 1
00000041, "1001011000110010", 1
0000005C, "1100101100011001", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 0
0000005C, "0000001100101100", 1
0000007A, "1000000110010110", 1
00000086, "1100000011001011", 0
00000086, "0110000001100101", 1
00000096, "1011000000110010", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
0000005C, "1000101100000011", 0
0000005E, "0100010110000001", 0
00000067, "0010001011000000", 0
0000005C, "0001000101100000", 0
0000005E, "0000100010110000", 0
00000067, "0000010001011000", 1
0000005C, "1000001000101100", 0
0000005E, "0100000100010110", 0
00000067, "0010000010001011", 0
0000005C, "0001000001000101", 0
0000005E, "0000100000100010", 0
00000067, "0000010000010001", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 0
0000005C, "0001000001000001", 1
0000007A, "1000100000100000", 1
00000086, "1100010000010000", 0
00000086, "0110001000001000", 1
00000096, "1011000100000100", 0
00000096, "0101100010000010", 0
00000096, "0010110001000001", 0
00000096, "0001011000100000", 0
00000096, "0000101100010000", 0
00000096, "0000010110001000", 0
00000096, "0000001011000100", 1
00000041, "1000000101100010", 0
00000041, "0100000010110001", 0
00000041, "0010000001011000", 0
00000041, "0001000000101100", 1
00000041, "1000100000010110", 1
0000005C, "1100010000001011", 0
0000005E, "0110001000000101", 0
00000067, "0011000100000010", 1
0000005C, "1001100010000001", 0
0000005E, "0100110001000000", 1
0000007A, "1010011000100000", 0
0000007A, "0101001100010000", 1
00000086, "1010100110001000", 1
00000096, "1101010011000100", 0
00000096, "0110101001100010", 0
00000096, "0011010100110001", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 1
0000005C, "1000001100110101", 0
0000005E, "0100000110011010", 1
0000007A, "1010000011001101", 0
0000007A, "0101000001100110", 1
00000086, "1010100000110011", 1
00000096, "1101010000011001", 0
00000096, "0110101000001100", 0
00000096, "0011010100000110", 0
00000096, "0001101010000011", 1
00000041, "1000110101000001", 0
00000041, "0100011010100000", 0
00000041, "0010001101010000", 1
00000041, "1001000110101000", 1
0000005C, "1100100011010100", 0
0000005E, "0110010001101010", 0
00000067, "0011001000110101", 1
0000005C, "1001100100011010", 0
0000005E, "0100110010001101", 1
0000007A, "1010011001000110", 0
0000007A, "0101001100100011", 1
00000086, "1010100110010001", 1
00000096, "1101010011001000", 0
00000096, "0110101001100100", 0
00000096, "0011010100110010", 1
00000041, "1001101010011001", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 1
0000005C, "1000001100110101", 0
0000005E, "0100000110011010", 1
0000007A, "1010000011001101", 0
0000007A, "0101000001100110", 1
00000086, "1010100000110011", 1
00000096, "1101010000011001", 0
00000096, "0110101000001100", 0
00000096, "0011010100000110", 0
00000096, "0001101010000011", 1
0000005C, "1000110101000001", 0
0000005E, "0100011010100000", 0
00000067, "0010001101010000", 0
0000005C, "0001000110101000", 0
0000005E, "0000100011010100", 0
00000067, "0000010001101010", 0
0000005C, "0000001000110101", 0
0000005E, "0000000100011010", 0
00000067, "0000000010001101", 1
0000005C, "1000000001000110", 0
0000005E, "0100000000100011", 0
00000067, "0010000000010001", 1
0000005C, "1001000000001000", 0
0000005E, "0100100000000100", 0
00000067, "0010010000000010", 1
0000005C, "1001001000000001", 0
0000005E, "0100100100000000", 1
0000007A, "1010010010000000", 0
0000007A, "0101001001000000", 1
00000086, "1010100100100000", 1
00000096, "1101010010010000", 0
00000096, "0110101001001000", 0
00000096, "0011010100100100", 0
00000096, "0001101010010010", 0
00000096, "0000110101001001", 0
00000096, "0000011010100100", 0
00000096, "0000001101010010", 1
0000005C, "1000000110101001", 0
0000005E, "0100000011010100", 0
00000067, "0010000001101010", 0
0000005C, "0001000000110101", 0
0000005E, "0000100000011010", 0
00000067, "0000010000001101", 1
0000005C, "1000001000000110", 0
0000005E, "0100000100000011", 0
00000067, "0010000010000001", 0
0000005C, "0001000001000000", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 0
0000005C, "0001000001000001", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 0
0000005C, "0000001000001000", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 1
0000005C, "1000000001000001", 0
0000005E, "0100000000100000", 0
00000067, "0010000000010000", 0
0000005C, "0001000000001000", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 0
0000005C, "0000001000000001", 1
0000007A, "1000000100000000", 1
00000086, "1100000010000000", 0
00000086, "0110000001000000", 0
00000086, "0011000000100000", 0
00000086, "0001100000010000", 1
00000096, "1000110000001000", 0
00000096, "0100011000000100", 0
00000096, "0010001100000010", 0
00000096, "0001000110000001", 0
00000096, "0000100011000000", 0
00000096, "0000010001100000", 0
00000096, "0000001000110000", 0
00000096, "0000000100011000", 0
00000096, "0000000010001100", 0
00000096, "0000000001000110", 0
00000096, "0000000000100011", 0
00000096, "0000000000010001", 0
00000096, "0000000000001000", 1
00000041, "1000000000000100", 0
00000041, "0100000000000010", 0
00000041, "0010000000000001", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 1
00000041, "1000010000000000", 1
0000005C, "1100001000000000", 0
0000005E, "0110000100000000", 0
00000067, "0011000010000000", 0
0000005C, "0001100001000000", 1
0000007A, "1000110000100000", 1
00000086, "1100011000010000", 0
00000086, "0110001100001000", 1
00000096, "1011000110000100", 0
00000096, "0101100011000010", 0
00000096, "0010110001100001", 1
00000041, "1001011000110000", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 0
0000005C, "0000001100101100", 1
0000007A, "1000000110010110", 1
00000086, "1100000011001011", 0
00000086, "0110000001100101", 1
00000096, "1011000000110010", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
00000041, "1000101100000011", 0
00000041, "0100010110000001", 0
00000041, "0010001011000000", 1
00000041, "1001000101100000", 1
0000005C, "1100100010110000", 0
0000005E, "0110010001011000", 0
00000067, "0011001000101100", 0
0000005C, "0001100100010110", 1
0000007A, "1000110010001011", 1
00000086, "1100011001000101", 0
00000086, "0110001100100010", 1
00000096, "1011000110010001", 0
00000096, "0101100011001000", 0
00000096, "0010110001100100", 1
00000041, "1001011000110010", 1
0000005C, "1100101100011001", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 0
0000005C, "0000001100101100", 1
0000007A, "1000000110010110", 1
00000086, "1100000011001011", 0
00000086, "0110000001100101", 1
00000096, "1011000000110010", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
0000005C, "1000101100000011", 0
0000005E, "0100010110000001", 0
00000067, "0010001011000000", 0
0000005C, "0001000101100000", 0
0000005E, "0000100010110000", 0
00000067, "0000010001011000", 0
0000005C, "0000001000101100", 0
0000005E, "0000000100010110", 0
00000067, "0000000010001011", 0
0000005C, "0000000001000101", 1
0000007A, "1000000000100010", 1
00000086, "1100000000010001", 0
00000086, "0110000000001000", 0
00000086, "0011000000000100", 0
00000086, "0001100000000010", 1
00000096, "1000110000000001", 0
00000096, "0100011000000000", 0
00000096, "0010001100000000", 0
00000096, "0001000110000000", 0
00000096, "0000100011000000", 0
00000096, "0000010001100000", 0
00000096, "0000001000110000", 1
00000041, "1000000100011000", 0
00000041, "0100000010001100", 0
00000041, "0010000001000110", 0
00000041, "0001000000100011", 1
00000041, "1000100000010001", 1
0000005C, "1100010000001000", 0
0000005E, "0110001000000100", 0
00000067, "0011000100000010", 1
0000005C, "1001100010000001", 0
0000005E, "0100110001000000", 1
0000007A, "1010011000100000", 0
0000007A, "0101001100010000", 1
00000086, "1010100110001000", 1
00000096, "1101010011000100", 0
00000096, "0110101001100010", 0
00000096, "0011010100110001", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 1
0000005C, "1000001100110101", 0
0000005E, "0100000110011010", 1
0000007A, "1010000011001101", 0
0000007A, "0101000001100110", 1
00000086, "1010100000110011", 1
00000096, "1101010000011001", 0
00000096, "0110101000001100", 0
00000096, "0011010100000110", 0
00000096, "0001101010000011", 1
00000041, "1000110101000001", 0
00000041, "0100011010100000", 0
00000041, "0010001101010000", 1
00000041, "1001000110101000", 1
0000005C, "1100100011010100", 0
0000005E, "0110010001101010", 0
00000067, "0011001000110101", 0
0000005C, "0001100100011010", 1
0000007A, "1000110010001101", 1
00000086, "1100011001000110", 0
00000086, "0110001100100011", 1
00000096, "1011000110010001", 0
00000096, "0101100011001000", 0
00000096, "0010110001100100", 1
00000041, "1001011000110010", 1
0000005C, "1100101100011001", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 1
0000005C, "1001100101100011", 0
0000005E, "0100110010110001", 1
0000007A, "1010011001011000", 0
0000007A, "0101001100101100", 0
0000007A, "0010100110010110", 1
00000086, "1001010011001011", 1
00000096, "1100101001100101", 0
00000096, "0110010100110010", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
0000005C, "1000110010100110", 0
0000005E, "0100011001010011", 0
00000067, "0010001100101001", 1
0000005C, "1001000110010100", 0
0000005E, "0100100011001010", 0
00000067, "0010010001100101", 1
0000005C, "1001001000110010", 0
0000005E, "0100100100011001", 0
00000067, "0010010010001100", 0
0000005C, "0001001001000110", 0
0000005E, "0000100100100011", 0
00000067, "0000010010010001", 1
0000005C, "1000001001001000", 0
0000005E, "0100000100100100", 1
0000007A, "1010000010010010", 0
0000007A, "0101000001001001", 0
0000007A, "0010100000100100", 1
00000086, "1001010000010010", 1
00000096, "1100101000001001", 0
00000096, "0110010100000100", 0
00000096, "0011001010000010", 0
00000096, "0001100101000001", 0
00000096, "0000110010100000", 0
00000096, "0000011001010000", 0
00000096, "0000001100101000", 1
0000005C, "1000000110010100", 0
0000005E, "0100000011001010", 0
00000067, "0010000001100101", 1
0000005C, "1001000000110010", 0
0000005E, "0100100000011001", 0
00000067, "0010010000001100", 0
0000005C, "0001001000000110", 0
0000005E, "0000100100000011", 0
00000067, "0000010010000001", 1
0000005C, "1000001001000000", 0
0000005E, "0100000100100000", 0
00000067, "0010000010010000", 1
0000005C, "1001000001001000", 0
0000005E, "0100100000100100", 0
00000067, "0010010000010010", 1
0000005C, "1001001000001001", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 0
0000005C, "0000000001001001", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 1
0000005C, "1000000000001001", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 1
0000005C, "1001000000000001", 0
0000005E, "0100100000000000", 1
0000007A, "1010010000000000", 0
0000007A, "0101001000000000", 0
0000007A, "0010100100000000", 1
00000086, "1001010010000000", 1
00000096, "1100101001000000", 0
00000096, "0110010100100000", 0
00000096, "0011001010010000", 0
00000096, "0001100101001000", 0
00000096, "0000110010100100", 0
00000096, "0000011001010010", 0
00000096, "0000001100101001", 0
00000096, "0000000110010100", 0
00000096, "0000000011001010", 0
00000096, "0000000001100101", 0
00000096, "0000000000110010", 0
00000096, "0000000000011001", 0
00000096, "0000000000001100", 1
0000005C, "1000000000000110", 0
0000005E, "0100000000000011", 0
00000067, "0010000000000001", 0
0000005C, "0001000000000000", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 0
0000005C, "0000001000000000", 0
0000005E, "0000000100000000", 0
00000067, "0000000010000000", 1
0000005C, "1000000001000000", 0
0000005E, "0100000000100000", 0
00000067, "0010000000010000", 0
0000005C, "0001000000001000", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 1
0000005C, "1001001001000001", 0
0000005E, "0100100100100000", 0
00000067, "0010010010010000", 0
0000005C, "0001001001001000", 0
0000005E, "0000100100100100", 0
00000067, "0000010010010010", 0
0000005C, "0000001001001001", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 1
0000005C, "1000000001001001", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 0
0000005C, "0001000000001001", 0
0000005E, "0000100000000100", 0
00000067, "0000010000000010", 1
0000005C, "1000001000000001", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 0
0000005C, "0001000001000000", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 1
0000005C, "1000001000001000", 0
0000005E, "0100000100000100", 0
00000067, "0010000010000010", 0
0000005C, "0001000001000001", 0
0000005E, "0000100000100000", 0
00000067, "0000010000010000", 0
0000005C, "0000001000001000", 0
0000005E, "0000000100000100", 0
00000067, "0000000010000010", 0
0000005C, "0000000001000001", 0
0000005E, "0000000000100000", 0
00000067, "0000000000010000", 1
0000005C, "1000000000001000", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 0
0000005C, "0001000000000001", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 1
0000005C, "1000001000000000", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 0
0000005C, "0001001000001000", 1
0000007A, "1000100100000100", 1
00000086, "1100010010000010", 0
00000086, "0110001001000001", 1
00000096, "1011000100100000", 0
00000096, "0101100010010000", 0
00000096, "0010110001001000", 0
00000096, "0001011000100100", 0
00000096, "0000101100010010", 0
00000096, "0000010110001001", 0
00000096, "0000001011000100", 0
00000096, "0000000101100010", 0
00000096, "0000000010110001", 0
00000096, "0000000001011000", 0
00000096, "0000000000101100", 0
00000096, "0000000000010110", 0
00000096, "0000000000001011", 0
00000096, "0000000000000101", 0
00000096, "0000000000000010", 0
00000096, "0000000000000001", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 0
00000096, "0000000000000000", 1
00000041, "1000000000000000", 0
00000041, "0100000000000000", 0
00000041, "0010000000000000", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 0
00000041, "0000010000000000", 1
00000041, "1000001000000000", 1
0000005C, "1100000100000000", 0
0000005E, "0110000010000000", 0
00000067, "0011000001000000", 1
0000005C, "1001100000100000", 0
0000005E, "0100110000010000", 1
0000007A, "1010011000001000", 0
0000007A, "0101001100000100", 1
00000086, "1010100110000010", 1
00000096, "1101010011000001", 0
00000096, "0110101001100000", 0
00000096, "0011010100110000", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 0
0000005C, "0000001100110101", 1
0000007A, "1000000110011010", 1
00000086, "1100000011001101", 0
00000086, "0110000001100110", 1
00000096, "1011000000110011", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
00000041, "1000101100000011", 0
00000041, "0100010110000001", 0
00000041, "0010001011000000", 1
00000041, "1001000101100000", 1
0000005C, "1100100010110000", 0
0000005E, "0110010001011000", 0
00000067, "0011001000101100", 1
0000005C, "1001100100010110", 0
0000005E, "0100110010001011", 1
0000007A, "1010011001000101", 0
0000007A, "0101001100100010", 1
00000086, "1010100110010001", 1
00000096, "1101010011001000", 0
00000096, "0110101001100100", 0
00000096, "0011010100110010", 1
00000041, "1001101010011001", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 0
0000005C, "0000001100110101", 1
0000007A, "1000000110011010", 1
00000086, "1100000011001101", 0
00000086, "0110000001100110", 1
00000096, "1011000000110011", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
0000005C, "1000101100000011", 0
0000005E, "0100010110000001", 0
00000067, "0010001011000000", 1
0000005C, "1001000101100000", 0
0000005E, "0100100010110000", 0
00000067, "0010010001011000", 0
0000005C, "0001001000101100", 0
0000005E, "0000100100010110", 0
00000067, "0000010010001011", 0
0000005C, "0000001001000101", 0
0000005E, "0000000100100010", 0
00000067, "0000000010010001", 1
0000005C, "1000000001001000", 0
0000005E, "0100000000100100", 0
00000067, "0010000000010010", 0
0000005C, "0001000000001001", 1
0000007A, "1000100000000100", 1
00000086, "1100010000000010", 0
00000086, "0110001000000001", 1
00000096, "1011000100000000", 0
00000096, "0101100010000000", 0
00000096, "0010110001000000", 0
00000096, "0001011000100000", 0
00000096, "0000101100010000", 0
00000096, "0000010110001000", 0
00000096, "0000001011000100", 1
00000041, "1000000101100010", 0
00000041, "0100000010110001", 0
00000041, "0010000001011000", 0
00000041, "0001000000101100", 1
00000041, "1000100000010110", 1
0000005C, "1100010000001011", 0
0000005E, "0110001000000101", 0
00000067, "0011000100000010", 0
0000005C, "0001100010000001", 1
0000007A, "1000110001000000", 1
00000086, "1100011000100000", 0
00000086, "0110001100010000", 1
00000096, "1011000110001000", 0
00000096, "0101100011000100", 0
00000096, "0010110001100010", 1
00000041, "1001011000110001", 1
0000005C, "1100101100011000", 0
0000005E, "0110010110001100", 0
00000067, "0011001011000110", 0
0000005C, "0001100101100011", 0
0000005E, "0000110010110001", 0
00000067, "0000011001011000", 0
0000005C, "0000001100101100", 1
0000007A, "1000000110010110", 1
00000086, "1100000011001011", 0
00000086, "0110000001100101", 1
00000096, "1011000000110010", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
00000041, "1000101100000011", 0
00000041, "0100010110000001", 0
00000041, "0010001011000000", 1
00000041, "1001000101100000", 1
0000005C, "1100100010110000", 0
0000005E, "0110010001011000", 0
00000067, "0011001000101100", 1
0000005C, "1001100100010110", 0
0000005E, "0100110010001011", 1
0000007A, "1010011001000101", 0
0000007A, "0101001100100010", 1
00000086, "1010100110010001", 1
00000096, "1101010011001000", 0
00000096, "0110101001100100", 0
00000096, "0011010100110010", 1
00000041, "1001101010011001", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 1
0000005C, "1001100110101001", 0
0000005E, "0100110011010100", 1
0000007A, "1010011001101010", 0
0000007A, "0101001100110101", 0
0000007A, "0010100110011010", 1
00000086, "1001010011001101", 1
00000096, "1100101001100110", 0
00000096, "0110010100110011", 0
00000096, "0011001010011001", 0
00000096, "0001100101001100", 1
0000005C, "1000110010100110", 0
0000005E, "0100011001010011", 0
00000067, "0010001100101001", 1
0000005C, "1001000110010100", 0
0000005E, "0100100011001010", 0
00000067, "0010010001100101", 1
0000005C, "1001001000110010", 0
0000005E, "0100100100011001", 0
00000067, "0010010010001100", 0
0000005C, "0001001001000110", 0
0000005E, "0000100100100011", 0
00000067, "0000010010010001", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 0
0000005C, "0000000001001001", 1
0000007A, "1000000000100100", 1
00000086, "1100000000010010", 0
00000086, "0110000000001001", 1
00000096, "1011000000000100", 0
00000096, "0101100000000010", 0
00000096, "0010110000000001", 0
00000096, "0001011000000000", 0
00000096, "0000101100000000", 0
00000096, "0000010110000000", 0
00000096, "0000001011000000", 1
0000005C, "1000000101100000", 0
0000005E, "0100000010110000", 0
00000067, "0010000001011000", 0
0000005C, "0001000000101100", 0
0000005E, "0000100000010110", 0
00000067, "0000010000001011", 1
0000005C, "1000001000000101", 0
0000005E, "0100000100000010", 0
00000067, "0010000010000001", 1
0000005C, "1001000001000000", 0
0000005E, "0100100000100000", 0
00000067, "0010010000010000", 1
0000005C, "1001001000001000", 0
0000005E, "0100100100000100", 0
00000067, "0010010010000010", 0
0000005C, "0001001001000001", 0
0000005E, "0000100100100000", 0
00000067, "0000010010010000", 0
0000005C, "0000001001001000", 0
0000005E, "0000000100100100", 0
00000067, "0000000010010010", 0
0000005C, "0000000001001001", 0
0000005E, "0000000000100100", 0
00000067, "0000000000010010", 1
0000005C, "1000000000001001", 0
0000005E, "0100000000000100", 0
00000067, "0010000000000010", 0
0000005C, "0001000000000001", 0
0000005E, "0000100000000000", 0
00000067, "0000010000000000", 1
0000005C, "1000001000000000", 0
0000005E, "0100000100000000", 0
00000067, "0010000010000000", 0
0000005C, "0001000001000000", 1
0000007A, "1000100000100000", 1
00000086, "1100010000010000", 0
00000086, "0110001000001000", 1
00000096, "1011000100000100", 0
00000096, "0101100010000010", 0
00000096, "0010110001000001", 0
00000096, "0001011000100000", 0
00000096, "0000101100010000", 0
00000096, "0000010110001000", 0
00000096, "0000001011000100", 0
00000096, "0000000101100010", 0
00000096, "0000000010110001", 0
00000096, "0000000001011000", 0
00000096, "0000000000101100", 0
00000096, "0000000000010110", 0
00000096, "0000000000001011", 1
00000041, "1000000000000101", 0
00000041, "0100000000000010", 0
00000041, "0010000000000001", 0
00000041, "0001000000000000", 0
00000041, "0000100000000000", 1
00000041, "1000010000000000", 1
0000005C, "1100001000000000", 0
0000005E, "0110000100000000", 0
00000067, "0011000010000000", 1
0000005C, "1001100001000000", 0
0000005E, "0100110000100000", 1
0000007A, "1010011000010000", 0
0000007A, "0101001100001000", 1
00000086, "1010100110000100", 1
00000096, "1101010011000010", 0
00000096, "0110101001100001", 0
00000096, "0011010100110000", 1
00000041, "1001101010011000", 1
0000005C, "1100110101001100", 0
0000005E, "0110011010100110", 0
00000067, "0011001101010011", 0
0000005C, "0001100110101001", 0
0000005E, "0000110011010100", 0
00000067, "0000011001101010", 0
0000005C, "0000001100110101", 1
0000007A, "1000000110011010", 1
00000086, "1100000011001101", 0
00000086, "0110000001100110", 1
00000096, "1011000000110011", 0
00000096, "0101100000011001", 0
00000096, "0010110000001100", 0
00000096, "0001011000000110", 1
00000041, "1000101100000011", 0
00000041, "0100010110000001", 0
00000041, "0010001011000000", 1
00000041, "1001000101100000", 1
